trial_type	cutoff	rt	outcome
0	262	219	hit
25	252	194	hit
0	242	258	miss
0	262	221	hit
5	252	379	miss
0	272	180	hit
5	25	262	203	hit
0	252	229	hit
5	242	231	hit
25	232	207	hit
0	222	223	miss
0	242	264	miss
5	262	195	hit
25	252	214	hit
0	242	224	hit
0	232	214	hit
5	222	232	miss
0	242	224	hit
0	232	237	miss
25	252	219	hit
5	242	257	miss
0	262	210	hit
0	252	205	hit
25	242	223	hit
0	232	219	hit
0	222	239	miss
5	242	277	miss
25	262	273	miss
0	282	240	hit
5	272	195	hit
5	262	172	hit
0	252	255	miss
0	272	402	miss
25	292	200	hit
0	282	240	hit
0	272	288	miss
5	292	199	hit
25	282	181	hit
0	272	218	hit
25	262	222	hit
0	252	230	hit
0	242	268	miss
25	262	184	hit
0	252	223	hit
25	242	212	hit
5	232	282	miss
0	252	230	hit
0	242	230	hit
5	232	251	miss
25	252	292	miss
0	272	187	hit
5	262	193	hit
0	252	231	hit
5	242	204	hit
25	232	200	hit
0	222	242	miss
25	242	265	miss
0	262	266	miss
5	282	219	hit
